 performer_type | performer_id |    performer_name    | performed_on_target_year 
----------------+--------------+----------------------+--------------------------
 Artist         |            3 | Lindsey Davis        | No
 Artist         |            6 | Robert Williams      | No
 Artist         |            7 | hillamanda           | No
 Artist         |            9 | ericrowland          | No
 Artist         |           11 | Richard Castillo     | No
 Artist         |           12 | uelliott             | No
 Artist         |           13 | hawkinsashley        | No
 Artist         |           16 | amber58              | No
 Artist         |           18 | mmcdaniel            | No
 Artist         |           24 | Victoria Parker      | No
 Artist         |           25 | Eric Kelley          | No
 Artist         |           29 | williamwilliams      | No
 Artist         |           31 | Joseph Whitehead     | No
 Artist         |           32 | iduncan              | No
 Artist         |           33 | Brianna Horne        | Yes
 Artist         |           35 | John Bartlett        | No
 Artist         |           36 | lozanoanthony        | No
 Artist         |           39 | Diane Robertson      | No
 Artist         |           42 | christiecooper       | No
 Artist         |           44 | sheilaanderson       | No
 Artist         |           45 | William Scott        | No
 Artist         |           47 | jimenezwilliam       | No
 Artist         |           48 | landerson            | No
 Artist         |           49 | edwinmurray          | No
 Artist         |           51 | lmartin              | Yes
 Artist         |           53 | carrtamara           | No
 Artist         |           55 | nmoore               | No
 Artist         |           57 | Lynn Taylor          | No
 Artist         |           60 | Jennifer Barnes      | No
 Artist         |           61 | Alexander Vazquez    | No
 Artist         |           65 | Alexander Nicholson  | No
 Artist         |           68 | johnsonjacob         | No
 Artist         |           69 | ucordova             | Yes
 Artist         |           72 | Tiffany Lloyd        | No
 Artist         |           78 | Carolyn Jones        | No
 Artist         |           81 | Toni Davidson        | No
 Artist         |           82 | Andrea Murillo       | No
 Artist         |           83 | Jacqueline Golden    | No
 Artist         |           86 | Justin Humphrey      | No
 Artist         |           94 | Daniel Cohen         | No
 Artist         |          104 | morrisjohn           | No
 Artist         |          105 | murraylori           | No
 Artist         |          110 | martinalexandria     | No
 Artist         |          113 | John Rodriguez       | No
 Artist         |          115 | gina92               | No
 Artist         |          118 | randall88            | No
 Artist         |          120 | james25              | Yes
 Artist         |          122 | johnnyleonard        | No
 Artist         |          124 | torresjessica        | No
 Artist         |          126 | jacksonmelissa       | No
 Artist         |          128 | nestes               | No
 Artist         |          133 | michael74            | No
 Artist         |          135 | Leslie Murphy        | Yes
 Artist         |          137 | rodriguezmegan       | No
 Artist         |          138 | Anthony Johnson      | No
 Artist         |          140 | jacobsonwilliam      | No
 Artist         |          141 | Kelly Glover         | No
 Artist         |          142 | qsantiago            | No
 Artist         |          146 | Caroline Lopez       | No
 Artist         |          147 | Chad Delacruz        | No
 Artist         |          152 | Robert Graham        | No
 Artist         |          153 | johnmurray           | No
 Artist         |          156 | Andrew Mcgee         | Yes
 Artist         |          157 | Rhonda Smith         | No
 Artist         |          165 | ldavis               | No
 Artist         |          166 | hjones               | No
 Artist         |          173 | Lori Vaughn          | No
 Artist         |          178 | david15              | No
 Artist         |          179 | Jason Williams       | No
 Artist         |          180 | Heidi Johnson        | No
 Artist         |          181 | Lori Cobb            | No
 Artist         |          182 | stevensholly         | No
 Artist         |          184 | Pamela Hernandez     | No
 Artist         |          185 | mark89               | Yes
 Artist         |          186 | jacobsonholly        | No
 Artist         |          190 | xbowen               | No
 Artist         |          193 | barbarawalters       | No
 Artist         |          196 | Connor Sparks        | No
 Artist         |          205 | Brenda Hayes         | Yes
 Artist         |          206 | Dana Gates           | No
 Artist         |          207 | williamslisa         | No
 Artist         |          208 | Robert Jordan        | Yes
 Artist         |          210 | Robert Lee           | No
 Artist         |          212 | swinters             | No
 Artist         |          213 | Courtney Miller      | Yes
 Artist         |          216 | Kenneth Moore        | No
 Artist         |          218 | Melissa Williams     | No
 Artist         |          220 | Stacie Wilson        | Yes
 Artist         |          221 | jwilson              | No
 Artist         |          226 | garystrong           | No
 Artist         |          228 | margaretgarcia       | No
 Artist         |          232 | Willie Burke         | No
 Artist         |          233 | bradyrebecca         | No
 Artist         |          238 | eadams               | No
 Artist         |          241 | jbaker               | No
 Artist         |          242 | ramosjohn            | No
 Artist         |          243 | Christopher Simpson  | No
 Artist         |          247 | bgarner              | No
 Artist         |          249 | Claire Phillips      | No
 Artist         |          251 | Adam Scott           | No
 Artist         |          252 | kenneth00            | No
 Artist         |          258 | Casey Perkins        | Yes
 Artist         |          261 | vthompson            | No
 Artist         |          263 | hray                 | No
 Artist         |          264 | bblackwell           | Yes
 Artist         |          265 | juanbecker           | No
 Artist         |          266 | Kelly Anderson       | No
 Artist         |          268 | Kristen Robinson     | No
 Artist         |          269 | Brian Lawrence       | No
 Artist         |          270 | Mark Carlson         | No
 Artist         |          271 | ashley18             | No
 Artist         |          274 | Brian Brooks         | No
 Artist         |          278 | rlewis               | Yes
 Artist         |          281 | Joan Chase           | No
 Artist         |          284 | Catherine Wall       | No
 Artist         |          290 | Reginald Garcia      | No
 Artist         |          292 | Stacey Carter        | No
 Artist         |          296 | privera              | No
 Artist         |          297 | gina04               | No
 Artist         |          298 | carolyncooper        | No
 Artist         |          301 | Jason Carpenter      | No
 Artist         |          302 | Brian Hall           | No
 Artist         |          303 | jeffrey66            | No
 Artist         |          304 | Tammy May            | No
 Artist         |          307 | seth00               | No
 Artist         |          308 | stonekathy           | No
 Artist         |          309 | Robert Carey         | No
 Artist         |          310 | Kevin Flores         | No
 Artist         |          314 | Suzanne Martinez     | No
 Artist         |          315 | Kevin Cook           | No
 Artist         |          320 | christine55          | No
 Artist         |          321 | Adam Hansen          | No
 Artist         |          324 | makaylamiller        | No
 Artist         |          325 | jacquelinewilliams   | No
 Artist         |          328 | William Luna         | No
 Artist         |          329 | gary69               | Yes
 Artist         |          335 | fedwards             | No
 Artist         |          336 | chavezcaitlin        | No
 Artist         |          341 | allenmichael         | No
