 performer_type | id  |         name         | age | performances 
----------------+-----+----------------------+-----+--------------
 Band           |  18 | Vasquez Collective   |  10 |           11
 Band           |   9 | Sharp Collective     |   3 |           10
 Band           |  95 | Williams Collective  |  14 |            9
 Band           |  19 | Shepard Collective   |   8 |            8
 Band           |  59 | Kelley Collective    |  11 |            8
 Band           |  38 | Velazquez Collective |   6 |            8
 Band           |  22 | Mitchell Collective  |  18 |            8
 Band           |  25 | Horne Collective     |   9 |            8
 Band           |  46 | Long Collective      |   1 |            8
 Band           |  23 | Padilla Collective   |  13 |            8
 Band           |  67 | Rios Collective      |  11 |            8
 Band           |  40 | Evans Collective     |   8 |            8
 Band           |  41 | Thompson Collective  |  15 |            7
 Band           |  31 | Johnston Collective  |   2 |            7
 Band           |  85 | Williams Collective  |  11 |            7
 Band           |  17 | Wood Collective      |  14 |            7
 Band           |  58 | Todd Collective      |  14 |            7
 Band           |  72 | Garner Collective    |  19 |            7
 Band           |  49 | Ortega Collective    |  12 |            7
 Band           |  99 | Martin Collective    |  10 |            6
 Band           |   1 | Gonzalez Collective  |  18 |            6
 Band           |   4 | Rogers Collective    |   7 |            6
 Band           |  88 | Williams Collective  |  19 |            6
 Band           |  39 | Moore Collective     |  14 |            6
 Band           |  74 | Noble Collective     |   5 |            6
 Band           |  57 | Lowe Collective      |  14 |            6
 Band           | 100 | Allen Collective     |   5 |            6
 Band           |  42 | Pittman Collective   |  16 |            6
 Band           |  81 | Stevenson Collective |  17 |            6
 Band           |  80 | Cook Collective      |  17 |            5
 Band           |  86 | Kim Collective       |   8 |            5
 Band           |  79 | Lewis Collective     |  11 |            5
 Band           |  94 | Henderson Collective |  15 |            5
 Band           |  50 | Wiley Collective     |   9 |            5
 Band           |  75 | Graham Collective    |   1 |            5
 Band           |  65 | Schmidt Collective   |   3 |            5
 Band           |  61 | Hunter Collective    |  12 |            5
 Band           |  44 | Jackson Collective   |  17 |            5
 Band           |  36 | Martinez Collective  |  18 |            5
 Band           |  63 | Hogan Collective     |   5 |            5
 Band           |  62 | Harris Collective    |   7 |            5
 Band           |  83 | Williams Collective  |   0 |            5
 Band           |  37 | Smith Collective     |  16 |            5
 Band           |  96 | Meza Collective      |  18 |            5
 Band           |  10 | Murphy Collective    |  16 |            5
 Band           |  28 | Jones Collective     |  15 |            5
 Band           |  56 | Hendricks Collective |  15 |            4
 Band           |  34 | Mendoza Collective   |  12 |            4
 Band           |  90 | Vasquez Collective   |  15 |            4
 Band           |  15 | Smith Collective     |  13 |            4
 Band           |  73 | Thomas Collective    |  19 |            4
 Band           |  92 | Williams Collective  |  18 |            4
 Artist         | 352 | Amy Trujillo         |  28 |            4
 Band           |  53 | Johnston Collective  |  19 |            4
 Artist         | 553 | Sharon Martinez      |  24 |            4
