  id  | performer_type |         name         | performances 
------+----------------+----------------------+--------------
  100 | Band           | Allen Collective     |            6
   99 | Band           | Martin Collective    |            6
   39 | Band           | Moore Collective     |            6
   81 | Band           | Stevenson Collective |            6
    1 | Band           | Gonzalez Collective  |            6
    4 | Band           | Rogers Collective    |            6
   88 | Band           | Williams Collective  |            6
   57 | Band           | Lowe Collective      |            6
   42 | Band           | Pittman Collective   |            6
   74 | Band           | Noble Collective     |            6
   28 | Band           | Jones Collective     |            5
   50 | Band           | Wiley Collective     |            5
   37 | Band           | Smith Collective     |            5
   80 | Band           | Cook Collective      |            5
  298 | Artist         | carolyncooper        |            5
   63 | Band           | Hogan Collective     |            5
   61 | Band           | Hunter Collective    |            5
   62 | Band           | Harris Collective    |            5
   65 | Band           | Schmidt Collective   |            5
  775 | Artist         | Michelle Martin      |            5
  123 | Artist         | latashagrant         |            5
   10 | Band           | Murphy Collective    |            5
   96 | Band           | Meza Collective      |            5
   44 | Band           | Jackson Collective   |            5
   83 | Band           | Williams Collective  |            5
   94 | Band           | Henderson Collective |            5
  555 | Artist         | Kenneth Burns        |            5
   79 | Band           | Lewis Collective     |            5
   75 | Band           | Graham Collective    |            5
   86 | Band           | Kim Collective       |            5
   36 | Band           | Martinez Collective  |            5
  766 | Artist         | amanda70             |            4
   33 | Artist         | Brianna Horne        |            4
   73 | Band           | Thomas Collective    |            4
   56 | Band           | Hendricks Collective |            4
  491 | Artist         | Robert Sanchez       |            4
   35 | Band           | Bowman Collective    |            4
   27 | Band           | Hayden Collective    |            4
   92 | Band           | Williams Collective  |            4
   21 | Band           | Price Collective     |            4
   87 | Band           | Parks Collective     |            4
  693 | Artist         | hawkinsashley        |            4
    7 | Band           | Bishop Collective    |            4
  894 | Artist         | Christopher Knight   |            4
  292 | Artist         | Stacey Carter        |            4
  889 | Artist         | jonathancombs        |            4
   90 | Band           | Vasquez Collective   |            4
   33 | Band           | Montoya Collective   |            4
  888 | Artist         | Joseph Lambert       |            4
   68 | Artist         | johnsonjacob         |            4
   53 | Band           | Johnston Collective  |            4
  352 | Artist         | Amy Trujillo         |            4
  541 | Artist         | Sandra Smith         |            4
   20 | Band           | Mcdonald Collective  |            4
   43 | Band           | Jones Collective     |            4
  470 | Artist         | shannon58            |            4
   15 | Band           | Smith Collective     |            4
  329 | Artist         | gary69               |            4
   69 | Artist         | ucordova             |            4
   82 | Band           | James Collective     |            4
    8 | Band           | Smith Collective     |            4
   30 | Band           | Welch Collective     |            4
    3 | Band           | Calderon Collective  |            4
  553 | Artist         | Sharon Martinez      |            4
  922 | Artist         | Donna Jensen         |            4
  626 | Artist         | morganjudy           |            4
  869 | Artist         | mathew63             |            4
  109 | Artist         | Brandon Wilson       |            4
  899 | Artist         | Sandra Bird          |            4
   14 | Band           | Owens Collective     |            4
  241 | Artist         | jbaker               |            4
   34 | Band           | Mendoza Collective   |            4
   66 | Band           | Jones Collective     |            4
  973 | Artist         | lramirez             |            3
  220 | Artist         | Stacie Wilson        |            3
  415 | Artist         | gregorysoto          |            3
   13 | Artist         | hawkinsashley        |            3
  393 | Artist         | Debra Rose           |            3
  536 | Artist         | msandoval            |            3
   51 | Band           | Mcbride Collective   |            3
  521 | Artist         | adam63               |            3
   16 | Band           | Lane Collective      |            3
  825 | Artist         | zsmith               |            3
  106 | Artist         | gkim                 |            3
   60 | Band           | Lee Collective       |            3
  593 | Artist         | Tammy Sellers        |            3
  397 | Artist         | thomas16             |            3
  615 | Artist         | olivercharles        |            3
   69 | Band           | Nichols Collective   |            3
