    day     | assistant | security | total_personnel 
------------+-----------+----------+-----------------
 2019-08-09 |      1280 |     3200 |            4480
 2019-08-08 |      1280 |     3200 |            4480
 2020-05-10 |       800 |     2000 |            2800
 2022-06-12 |      1140 |     2850 |            3990
 2025-07-07 |      1240 |     3100 |            4340
 2019-08-10 |      1280 |     3200 |            4480
 2025-07-09 |      1240 |     3100 |            4340
 2022-06-15 |      1140 |     2850 |            3990
 2020-05-09 |       800 |     2000 |            2800
 2024-06-10 |       800 |     2000 |            2800
 2024-06-13 |       800 |     2000 |            2800
 2021-06-19 |      1140 |     2850 |            3990
 2024-06-12 |       800 |     2000 |            2800
 2020-05-11 |       800 |     2000 |            2800
 2022-06-13 |      1140 |     2850 |            3990
 2021-06-24 |      1140 |     2850 |            3990
 2018-05-22 |       760 |     1900 |            2660
 2026-05-11 |       760 |     1900 |            2660
 2019-08-06 |      1280 |     3200 |            4480
 2021-06-22 |      1140 |     2850 |            3990
 2019-08-07 |      1280 |     3200 |            4480
 2023-08-13 |      1240 |     3100 |            4340
 2025-07-10 |      1240 |     3100 |            4340
 2024-06-11 |       800 |     2000 |            2800
 2024-06-09 |       800 |     2000 |            2800
 2021-06-23 |      1140 |     2850 |            3990
 2023-08-10 |      1240 |     3100 |            4340
 2023-08-12 |      1240 |     3100 |            4340
 2021-06-17 |      1140 |     2850 |            3990
 2026-05-10 |       760 |     1900 |            2660
 2024-06-08 |       800 |     2000 |            2800
 2025-07-11 |      1240 |     3100 |            4340
 2018-05-20 |       760 |     1900 |            2660
 2017-08-03 |      1140 |     2850 |            3990
 2018-05-19 |       760 |     1900 |            2660
 2021-06-20 |      1140 |     2850 |            3990
 2024-06-06 |       800 |     2000 |            2800
 2019-08-05 |      1280 |     3200 |            4480
 2025-07-12 |      1240 |     3100 |            4340
 2021-06-21 |      1140 |     2850 |            3990
 2024-06-07 |       800 |     2000 |            2800
 2018-05-21 |       760 |     1900 |            2660
 2020-05-12 |       800 |     2000 |            2800
 2026-05-08 |       760 |     1900 |            2660
 2026-05-09 |       760 |     1900 |            2660
 2025-07-13 |      1240 |     3100 |            4340
 2021-06-18 |      1140 |     2850 |            3990
 2023-08-11 |      1240 |     3100 |            4340
 2020-05-08 |       800 |     2000 |            2800
 2017-08-01 |      1140 |     2850 |            3990
 2025-07-08 |      1240 |     3100 |            4340
 2017-08-02 |      1140 |     2850 |            3990
 2019-08-04 |      1280 |     3200 |            4480
 2023-08-14 |      1240 |     3100 |            4340
 2021-06-25 |      1140 |     2850 |            3990
 2025-07-14 |      1240 |     3100 |            4340
 2022-06-14 |      1140 |     2850 |            3990
 2022-06-16 |      1140 |     2850 |            3990
(58 rows)

